工站(w),时间(s),颈部角度(°),肩部前屈角度(°),肩部外展角度(°)
7,17,2.2,140.88,84.32
7,18,20.55,52.45,45.8
7,19,-1.76,32.03,7.95
7,20,26.81,43.7,27.8
7,21,-25,139.99,60.08
7,22,10.02,137.62,37.83
7,23,7.29,15.43,22.74
7,24,19.87,117.35,38.31
7,25,-7.39,84.7,5.02
7,26,-15.53,39.15,28.8
7,27,18.35,49.15,23.19
7,28,0.26,131.19,27.93
7,29,-25.29,59.9,76.03
7,30,3.04,124.35,96.16
7,31,17.56,94.53,51.87
7,32,-27.6,147.81,41.43
7,33,-20.87,103.34,32.01
7,34,5.15,92.15,47.34
7,35,20.17,47.1,47.62
7,36,2.26,102.91,79.48
7,37,-6.31,100.45,19.31
7,38,25.96,63.63,74.3
7,39,-28.78,38.73,51.27
7,40,22.7,83.82,93.34
7,41,-0.97,78.66,16.38
7,42,18.16,44.58,90.46
7,43,24.65,142.06,54.42
7,44,10.63,118.99,17.45
7,45,6.06,14.8,52.27
7,46,-20.71,35.61,39.68
7,47,-4.05,97.24,12.07
7,48,0.22,35.57,59.53
7,49,8.24,87.94,75.14
7,50,-9.86,117.11,46.11
7,51,-0.95,100.73,6.74
7,52,9.24,96.6,34.44
7,53,-24.85,22.73,92.71
7,54,11.36,27.79,38.89
7,55,5.55,126.98,9.15
7,56,-15.8,134.56,5.87
7,57,-17.92,144.26,63.27
7,58,-14.3,19.38,7.68
7,59,-15.32,133.41,44.51
7,60,13.22,138.56,43.76
7,61,-18.52,82.4,91.27
7,62,18.26,19.22,70.79
7,63,4.31,137.04,16.64
7,64,2.04,133.12,43.95
7,65,-1.08,19.86,31.42
7,66,-10.53,142.32,31.85
7,67,-2.35,103.98,20.41
7,68,-0.81,113.4,87.35
7,69,7.58,103.67,17
7,70,26.75,28.56,78.59
7,71,-14.11,140.7,73.4
7,72,15.23,40.67,47.09
7,73,7.07,117.8,14.88
7,74,27.74,134.63,30.68
7,75,19.37,82.57,48.87
7,76,-11.13,91.34,74.34
7,77,-5.34,98.09,71.43
7,78,12.67,17.28,86.68
7,79,-2.5,46.74,27.97
7,80,-1.02,134.16,40.94
7,81,14.98,23.55,50.23
7,82,29.5,117.86,25
7,83,0.09,42.71,43.91
7,84,16.81,117.97,26.67
7,85,25.33,92.96,41.09
7,86,0.12,94.71,58.19
7,87,-0.82,80.69,21.76
7,88,18.76,85.85,17.45
7,89,15.97,140.54,94.99
7,90,-7.86,28.97,54.25
7,91,-23.24,140.76,22.44
7,92,-14.83,66.93,41.4
7,93,17.68,73.88,21.22
7,94,-13.97,81.28,19.01
7,95,6.7,89.2,72.9
7,96,26.26,137.72,94.88
7,97,-15.32,28.42,33.72
7,98,23.71,146.09,86.64
7,99,-23.4,142.64,45.22
7,100,-29.44,71.94,9.38
7,101,2.63,57.4,49.98
7,102,6.79,131.63,67.88
7,103,-3.96,124.72,91.03
7,104,-22.81,84.47,32.03
7,105,-27.18,103.6,86.96
7,106,-20.23,123.74,86.07
7,107,24.86,47.14,90.88
8,1,-6.3,45.56,98.3
8,2,28.98,139.5,79.64
8,3,-10.45,124.38,43.84
8,4,-10.39,114.28,12.57
8,5,-27.09,72.71,47.34
8,6,23.74,27.66,16.71
8,7,-21.15,14.16,11.81
8,8,9.59,70.42,77.54
8,9,29.56,102.26,9.79
8,10,-23.73,133.34,55.11
8,11,19.49,129.93,93.13
8,12,26.99,87.68,37.4
8,13,27.71,86.64,11.1
8,14,8.57,92.28,90.1
8,15,9.19,58.87,96.79
8,16,18.1,98.26,32.83
8,17,-7.59,103.8,11.84
8,18,-14.6,109.95,50.6
8,19,-5.86,31.2,46.98
8,20,16.24,46.96,5.51
8,21,10.11,146.17,62.65
8,22,-22.8,54.9,87.43
8,23,-16.05,95.08,43.25
8,24,-17.53,123.88,75.57
8,25,9.7,43.09,14.3
8,26,4.57,87.51,22.9
8,27,-26.63,21.3,99.31
8,28,17.02,139.08,23.53
8,29,27.63,29.97,53.36
8,30,19.78,58.97,45.36
8,31,-22.31,27.21,63.86
8,32,10.53,118.83,57.88
8,33,8.75,11.89,20.41
8,34,29.09,20.64,69.48
8,35,-19.44,110.34,72.07
8,36,-15.95,47.75,67.2
8,37,-6.59,37.24,74.51
8,38,-20.75,129.79,53.89
8,39,-23.66,107.17,54.32
8,40,-12.12,69.16,33.34
8,41,-14.22,32.91,39.46
8,42,-14.94,105.68,69.97
8,43,0.11,118.91,84.93
8,44,4.79,96.65,31.87
8,45,23.69,13.39,38.12
8,46,13.31,21.21,22.4
8,47,5.36,88.4,75.2
8,48,18.76,28,6.75
8,49,11.38,52.19,64.47
8,50,-20.97,75.67,52.92
8,51,5.1,81.84,52.09
8,52,-10.04,19.97,13.5
8,53,-3.97,59.81,54.03
8,54,-11.71,106.31,87.08
8,55,-12.07,37.02,16.04
8,56,6.98,72.14,22.86
8,57,9.19,30.79,57.66
8,58,1.63,112.79,10.24
8,59,23.27,108.42,25.53
8,60,-19,70.43,82.67
8,61,20.58,82.86,86.78
8,62,-29.67,14.92,91.62
8,63,16.52,73.1,76.59
8,64,27.34,118.09,85.03
8,65,15.64,33.55,84.19
8,66,-18.29,134.97,48.57
8,67,10.62,79.61,13.93
8,68,-12.56,147.72,96.27
8,69,-10.77,149.48,85.33
8,70,6.66,15.62,90.64
8,71,3.45,131.59,84.27
8,72,19.98,107.74,32.68
8,73,-9.83,53.19,6.9
8,74,4.95,107.84,86.12
8,75,-21.59,86.19,5.76
8,76,-24.29,17.59,73.92
8,77,-25.14,110.3,28.71
8,78,22.66,123.84,95.99
8,79,23.03,140.67,86.58
8,80,11.6,33.84,30.81
8,81,-17.24,94.5,52.84
8,82,22.02,143.37,43.46
8,83,0.38,146.01,31.24
8,84,17.54,41.53,69.74
8,85,-14.78,133.72,58.34
8,86,-18.84,41.41,51.92
8,87,27.7,117.75,51.39
8,88,-9.74,86.9,76.09
8,89,17.04,55.45,73.51
8,90,9.47,144.28,93.45
8,91,17.36,111.28,31.03
8,92,20.76,69.85,30.86
8,93,-6.95,127.03,19.12
8,94,-2.63,78.93,8.48
8,95,-18.26,125.74,83.92
8,96,-12.46,132.49,78.32
8,97,-4.93,114.78,96.33
8,98,-2.46,43.38,94.47
8,99,6.22,24.74,59.4
8,100,0.03,129.78,55.42
8,101,-14.69,104.59,56.54
8,102,-16.02,90.31,83.05
8,103,-28.29,98.32,38.21
8,104,-12.44,64.96,37.49
8,105,19.93,48.47,74.65
8,106,-24.36,143.2,64.12
8,107,12.4,51.73,44.15
8,108,-16.57,140.56,51.37
8,109,7.83,112.8,40.26
8,110,13.21,104.64,72.04
8,111,-0.65,63.61,26.1
8,112,19.48,95.17,47.21
8,113,26.64,16.7,85.77
8,114,29.85,134.17,81.99
8,115,-7.54,42.38,74.81
8,116,-11.73,34.65,79.72
8,117,-11.25,138.02,84.86
8,118,20.86,118.02,88.68
8,119,18.34,94.35,33.1
8,120,23.29,127.68,49.92
8,121,-27.66,99.4,9.81
8,122,25.58,144.63,23
8,123,10.58,22.92,74.3
